id_x,user_id,mission_id,completed_at,id_y,name_x,description,carbon_reduction,name_y,email,created_at,id_x.1,timestamp,activity_type_x,page_id,button_id,id_y.1,session_start,session_end,duration,activity_type_y,start_time,end_time,date
1,101,4,2025-02-10,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-10 11:14:00,Button Click,Home,BtnLogin,1,2025-02-10 08:54:00,2025-02-10 09:34:00,10 minutes,Mission,2025-02-10 00:49:00,2025-02-10 01:21:00,2025-02-11
1,101,4,2025-02-15,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-15 02:11:00,Button Click,Home,BtnLogin,1,2025-02-15 11:11:00,2025-02-15 11:29:00,10 minutes,Session,2025-02-15 10:42:00,2025-02-15 11:20:00,2025-02-14
1,101,4,2025-02-13,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-13 04:19:00,Button Click,Home,BtnLogin,1,2025-02-13 00:48:00,2025-02-13 01:27:00,10 minutes,Click,2025-02-13 09:36:00,2025-02-13 10:33:00,2025-02-15
1,101,4,2025-02-11,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-11 01:54:00,Button Click,Home,BtnLogin,1,2025-02-11 00:27:00,2025-02-11 01:14:00,10 minutes,Mission,2025-02-11 10:10:00,2025-02-11 10:50:00,2025-02-12
1,101,4,2025-02-11,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-11 01:24:00,Button Click,Home,BtnLogin,1,2025-02-11 07:19:00,2025-02-11 08:04:00,10 minutes,Session,2025-02-11 08:48:00,2025-02-11 08:58:00,2025-02-10
1,101,4,2025-02-11,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-11 05:08:00,Button Click,Home,BtnLogin,1,2025-02-11 01:18:00,2025-02-11 02:14:00,10 minutes,Click,2025-02-11 02:10:00,2025-02-11 02:48:00,2025-02-12
1,101,4,2025-02-14,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-14 09:42:00,Button Click,Home,BtnLogin,1,2025-02-14 01:54:00,2025-02-14 02:40:00,10 minutes,Mission,2025-02-14 11:26:00,2025-02-14 11:29:00,2025-02-10
1,101,4,2025-02-15,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-15 02:05:00,Button Click,Home,BtnLogin,1,2025-02-15 04:57:00,2025-02-15 05:43:00,10 minutes,Session,2025-02-15 01:31:00,2025-02-15 01:40:00,2025-02-11
1,101,4,2025-02-15,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-15 05:17:00,Button Click,Home,BtnLogin,1,2025-02-15 08:54:00,2025-02-15 09:38:00,10 minutes,Click,2025-02-15 07:25:00,2025-02-15 07:49:00,2025-02-15
1,101,4,2025-02-14,4,텀블러 사용하기,일회용 컵 대신 텀블러 사용 인증,0.3,강서윤,kangsy@example.com,2024-12-15,1,2025-02-14 05:34:00,Button Click,Home,BtnLogin,1,2025-02-14 09:10:00,2025-02-14 09:55:00,10 minutes,Mission,2025-02-14 03:08:00,2025-02-14 03:43:00,2025-02-11
